# Wed Mar 14 17:05:55 2012
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
100 1 0 1 0 0 
200 1 0 1 0 0 
300 1 0 1 0 0 
400 1 0 1 0 0 
500 1 0 1 0 0 
600 1 0 1 0 0 
700 1 0 1 0 0 
800 1 0 1 0 0 
900 1 0 1 0 0 
1000 1 0 1 0 0 
1100 1 0 1 0 0 
1200 1 0 1 0 0 
1300 1 0 1 0 0 
1400 1 0 1 0 0 
1500 1 0 1 0 0 
1600 1 0 1 0 0 
1700 1 0 1 0 0 
1800 1 0 1 0 0 
1900 1 0 1 0 0 
2000 1 0 1 0 0 
2100 3 0.0685127 3 0 0.992335 
2200 3 0.175078 3 0 0.975313 
2300 4 0.481964 5 0 0.90443 
2400 4 0.915685 8 0 0.693412 
2500 4 1.02737 11 0 0.519795 
2600 3 0.979076 13 0 0.387824 
2700 3 0.937317 12 0 0.340325 
2800 4 0.985989 11 0 0.405698 
2900 4 1.01267 10 0 0.462975 
3000 4 1.01768 12 0 0.520283 
3100 4 1.0165 13 0 0.551152 
3200 4 1.01811 9 0 0.558442 
3300 4 1.01786 10 0 0.524543 
3400 3 1.01712 6 0 0.467484 
3500 3 0.993351 7 0 0.405087 
3600 3 0.908911 6 0 0.309494 
3700 3 0.804597 7 0 0.234277 
3800 4 0.722061 9 0 0.182238 
3900 5 0.61212 8 0 0.133016 
4000 5 0.521177 9 0 0.0991555 
4100 4 0.536953 6 0 0.0938081 
4200 4 0.560382 4 0.000260349 0.0984119 
4300 4 0.678427 7 0.00103546 0.138235 
4400 4 0.864866 7 0.00103788 0.224961 
4500 6 1.0023 8 0.00344462 0.316905 
4600 6 1.08164 6 0.00492072 0.408693 
4700 6 1.13235 8 0.00543012 0.449843 
4800 6 1.13598 10 0.00502959 0.422485 
4900 5 1.08453 9 0.0060006 0.339634 
5000 6 0.996393 11 0.0104478 0.249552 
5100 5 0.996143 9 0.0211963 0.227642 
5200 5 1.09798 10 0.0451171 0.262421 
5300 5 1.22672 9 0.0782389 0.334268 
5400 6 1.47601 8 0.134854 0.509009 
5500 7 1.67959 10 0.202134 0.713668 
5600 7 1.74338 12 0.251218 0.843484 
5700 8 1.77659 16 0.269068 0.891918 
5800 8 1.78735 14 0.285663 0.885246 
5900 7 1.77148 16 0.270928 0.805094 
6000 7 1.66126 15 0.24971 0.707011 
6100 7 1.53379 14 0.213042 0.604643 
6200 7 1.38501 13 0.179402 0.50098 
6300 7 1.24552 12 0.155937 0.425165 
6400 8 1.1499 12 0.13893 0.365534 
6500 7 1.03418 12 0.119802 0.311085 
6600 8 0.94731 14 0.10262 0.263498 
6700 8 0.944086 13 0.0996471 0.252203 
6800 8 0.923366 11 0.0922237 0.234925 
6900 8 0.947601 13 0.0989937 0.243677 
7000 10 1.01983 14 0.106337 0.264346 
7100 10 1.05788 15 0.106881 0.271961 
7200 10 1.11024 16 0.111936 0.288205 
7300 10 1.18714 16 0.124649 0.319902 
7400 10 1.24919 16 0.135765 0.346575 
7500 10 1.22711 17 0.127893 0.330247 
7600 10 1.15725 17 0.122981 0.310955 
7700 10 1.1985 16 0.130214 0.324126 
7800 10 1.32061 18 0.152504 0.371975 
7900 10 1.45343 16 0.168382 0.419383 
8000 10 1.57606 15 0.207373 0.503165 
8100 10 1.69113 15 0.253642 0.603473 
8200 10 1.70221 16 0.27644 0.649971 
8300 10 1.77762 14 0.307706 0.713427 
8400 11 1.82512 16 0.296666 0.691493 
8500 11 1.81715 15 0.292533 0.67453 
8600 11 1.81484 15 0.273273 0.644117 
8700 12 1.79882 16 0.267766 0.626861 
8800 12 1.86968 16 0.264226 0.631811 
8900 12 1.94212 18 0.278767 0.668466 
9000 11 1.92578 17 0.28377 0.672675 
9100 11 1.92348 19 0.276175 0.663654 
9200 12 1.8962 17 0.284661 0.663961 
9300 12 1.86896 17 0.280882 0.64832 
9400 11 1.91552 17 0.286214 0.660542 
9500 12 1.88005 18 0.265227 0.619311 
9600 12 1.84246 24 0.247423 0.584142 
9700 13 1.81011 22 0.249697 0.579509 
9800 13 1.67864 24 0.237795 0.540497 
9900 11 1.63292 21 0.231239 0.52698 
10000 11 1.65735 19 0.231827 0.538169 
10100 11 1.61655 17 0.219537 0.511125 
10200 11 1.66191 17 0.211417 0.505498 
10300 11 1.58604 18 0.199039 0.472592 
10400 11 1.56056 17 0.19193 0.454768 
10500 11 1.46126 16 0.167016 0.406707 
10600 11 1.5188 18 0.171618 0.423042 
10700 11 1.54077 18 0.182582 0.440912 
10800 11 1.44754 16 0.169588 0.40961 
10900 12 1.3812 17 0.165429 0.391446 
11000 12 1.3238 18 0.156083 0.367833 
11100 11 1.29136 17 0.150064 0.352838 
11200 11 1.22064 16 0.139326 0.326385 
11300 12 1.14745 16 0.134969 0.311518 
11400 13 1.16171 17 0.134719 0.312286 
11500 13 1.14466 16 0.1286 0.303409 
11600 13 1.1215 14 0.129337 0.301673 
11700 13 1.12653 15 0.130605 0.304164 
11800 13 1.03967 20 0.11787 0.276308 
11900 13 0.954984 20 0.103106 0.244088 
12000 12 0.831932 17 0.0836994 0.199609 
12100 12 0.733248 17 0.0665991 0.16496 
12200 12 0.635411 12 0.0606968 0.14344 
12300 13 0.586708 16 0.0499101 0.123433 
12400 14 0.575435 17 0.0461999 0.11651 
12500 14 0.498806 18 0.0388356 0.0971398 
12600 14 0.48522 18 0.0399616 0.0965353 
12700 13 0.428888 15 0.0347981 0.0841415 
12800 12 0.389939 14 0.0314368 0.074922 
12900 13 0.419307 16 0.036735 0.0843718 
13000 14 0.428591 16 0.03777 0.0868217 
13100 14 0.435 16 0.0383455 0.0878061 
13200 14 0.434057 17 0.0386537 0.0881894 
13300 14 0.459644 17 0.041602 0.0962553 
13400 13 0.494531 17 0.0428516 0.104123 
13500 11 0.56633 15 0.0565156 0.133627 
13600 13 0.631265 17 0.0668257 0.15821 
13700 13 0.689493 17 0.0731212 0.175977 
13800 12 0.728166 16 0.0814322 0.194798 
13900 13 0.777652 17 0.0885737 0.212202 
14000 13 0.788026 16 0.0904455 0.213097 
14100 13 0.85495 16 0.0949281 0.225115 
14200 13 0.895865 17 0.105049 0.243757 
