# Fri May  4 20:52:32 2012
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
100 1 0 1 0 0 
200 1 0 1 0 0 
300 1 0 1 0 0 
400 1 0 1 0 0 
500 1 0 1 0 0 
600 1 0 1 0 0 
700 1 0 1 0 0 
800 1 0 1 0 0 
900 1 0 1 0 0 
1000 1 0 1 0 0 
1100 1 0 1 0 0 
1200 1 0 1 0 0 
1300 1 0 1 0 0 
1400 1 0 1 0 0 
1500 1 0 1 0 0 
1600 1 0 1 0 0 
1700 1 0 1 0 0 
1800 1 0 1 0 0 
1900 1 0 1 0 0 
2000 1 0 1 0 0 
2100 3 0.454687 3 0 0.0952786 
2200 3 0.916537 6 0 0.32766 
2300 5 0.9823 11 0 0.607791 
2400 5 0.867043 13 0 0.726276 
2500 6 0.767828 19 0.00015727 0.789258 
2600 5 0.823723 20 0 0.75817 
2700 5 0.908255 18 0 0.700866 
2800 5 0.951427 16 0 0.656081 
2900 5 1.00121 21 0 0.58277 
3000 3 1.01858 11 0 0.492572 
3100 3 0.992395 12 0 0.399362 
3200 4 0.910233 11 0 0.306259 
