# Avida Dominant Parasite Data
# Tue Sep  6 16:31:45 2011
#  1: Update
#  2: Number of Extant Parasites

0 0 
100 0 
200 0 
300 0 
400 0 
500 0 
600 0 
700 0 
800 0 
900 0 
1000 0 
1100 0 
1200 0 
1300 0 
1400 0 
1500 0 
1600 0 
1700 0 
1800 0 
1900 0 
2000 0 
2100 289 
2200 372 
2300 373 
2400 358 
2500 440 
2600 540 
2700 536 
2800 579 
2900 636 
3000 671 
3100 658 
3200 689 
3300 710 
3400 778 
3500 796 
3600 848 
3700 869 
3800 921 
3900 926 
4000 936 
4100 875 
4200 812 
4300 823 
4400 779 
4500 832 
4600 883 
4700 830 
4800 772 
4900 751 
5000 829 
5100 789 
5200 750 
5300 672 
5400 667 
5500 655 
5600 679 
5700 617 
5800 471 
5900 462 
6000 499 
6100 488 
6200 418 
6300 395 
6400 409 
6500 392 
6600 361 
6700 354 
6800 367 
6900 401 
7000 474 
7100 382 
7200 337 
7300 386 
7400 402 
7500 435 
7600 374 
7700 298 
7800 236 
7900 233 
8000 218 
8100 214 
8200 239 
8300 285 
8400 310 
8500 313 
8600 341 
8700 330 
8800 341 
8900 355 
9000 383 
9100 382 
9200 394 
9300 447 
9400 459 
9500 422 
9600 431 
9700 473 
9800 434 
9900 393 
10000 411 
10100 438 
10200 413 
10300 371 
10400 373 
10500 355 
10600 397 
10700 342 
10800 364 
10900 358 
11000 345 
11100 306 
11200 254 
11300 242 
11400 281 
11500 302 
11600 311 
11700 308 
11800 360 
11900 340 
12000 322 
12100 306 
12200 310 
12300 339 
12400 324 
12500 364 
12600 386 
12700 408 
12800 390 
12900 372 
13000 397 
13100 487 
13200 487 
13300 487 
13400 455 
13500 475 
13600 479 
13700 481 
13800 480 
13900 501 
14000 453 
14100 427 
14200 359 
14300 327 
14400 311 
14500 319 
14600 360 
14700 334 
14800 293 
14900 303 
15000 292 
15100 322 
15200 325 
15300 267 
15400 263 
15500 297 
15600 316 
15700 295 
15800 320 
15900 355 
16000 351 
16100 340 
16200 293 
16300 289 
16400 280 
16500 250 
16600 230 
16700 203 
16800 209 
16900 201 
17000 218 
17100 239 
17200 219 
17300 261 
17400 260 
17500 253 
17600 243 
17700 295 
17800 273 
17900 260 
18000 229 
18100 249 
18200 229 
18300 234 
18400 256 
18500 261 
18600 256 
18700 277 
18800 296 
18900 257 
19000 261 
19100 243 
19200 215 
19300 206 
19400 232 
19500 214 
19600 221 
19700 217 
19800 227 
19900 239 
20000 221 
20100 268 
20200 292 
20300 320 
20400 340 
20500 371 
20600 358 
20700 367 
20800 393 
20900 434 
21000 495 
21100 451 
21200 448 
21300 393 
21400 324 
21500 340 
21600 349 
21700 340 
21800 312 
21900 375 
22000 388 
22100 419 
22200 398 
22300 452 
22400 414 
22500 425 
22600 397 
22700 339 
22800 376 
22900 403 
23000 402 
23100 385 
23200 363 
23300 354 
23400 314 
23500 334 
23600 330 
23700 337 
23800 332 
23900 330 
24000 307 
24100 337 
24200 348 
24300 416 
24400 470 
24500 445 
24600 409 
24700 383 
24800 361 
24900 338 
25000 375 
25100 355 
25200 347 
25300 365 
25400 397 
25500 426 
25600 472 
25700 465 
25800 428 
25900 430 
26000 389 
26100 394 
26200 431 
26300 444 
26400 418 
26500 384 
26600 412 
26700 425 
26800 372 
26900 366 
27000 353 
27100 322 
27200 340 
27300 316 
27400 349 
27500 369 
27600 349 
27700 338 
27800 297 
27900 292 
28000 276 
28100 243 
28200 224 
28300 202 
28400 213 
28500 243 
28600 208 
28700 208 
28800 252 
28900 269 
29000 250 
29100 266 
29200 289 
29300 280 
29400 243 
29500 189 
29600 209 
29700 189 
29800 234 
29900 263 
30000 273 
30100 248 
30200 249 
30300 248 
30400 227 
30500 228 
30600 242 
30700 211 
30800 185 
30900 223 
31000 185 
31100 133 
31200 149 
31300 146 
31400 150 
31500 138 
31600 99 
31700 103 
31800 76 
31900 54 
32000 52 
32100 64 
32200 71 
32300 68 
32400 80 
32500 80 
32600 80 
32700 69 
32800 79 
32900 114 
33000 146 
33100 152 
33200 202 
33300 197 
33400 209 
33500 234 
33600 247 
33700 239 
33800 257 
33900 263 
34000 294 
34100 346 
34200 426 
34300 496 
34400 521 
34500 532 
34600 526 
34700 599 
34800 696 
34900 682 
35000 731 
35100 777 
35200 770 
35300 821 
35400 846 
35500 918 
35600 1067 
35700 1182 
35800 1243 
35900 1280 
36000 1254 
36100 1269 
36200 1310 
36300 1342 
36400 1326 
36500 1447 
36600 1491 
36700 1593 
36800 1678 
36900 1662 
37000 1545 
37100 1616 
37200 1742 
37300 1861 
37400 1908 
37500 1883 
37600 1936 
37700 2057 
37800 2127 
37900 2152 
38000 2053 
38100 2021 
38200 2194 
38300 2216 
38400 2219 
38500 2211 
38600 2220 
38700 2171 
38800 2092 
38900 2071 
39000 2124 
39100 2136 
39200 2163 
39300 2219 
39400 2296 
39500 2329 
39600 2264 
39700 2225 
39800 2174 
39900 2210 
40000 2109 
40100 2030 
40200 1972 
40300 1930 
40400 1838 
40500 1777 
40600 1736 
40700 1758 
40800 1754 
40900 1738 
41000 1900 
41100 1898 
41200 1948 
41300 1950 
41400 1964 
41500 1924 
41600 1868 
41700 1788 
41800 1776 
41900 1756 
42000 1697 
42100 1706 
42200 1834 
42300 1932 
42400 1895 
42500 1824 
42600 1863 
42700 1902 
42800 1885 
42900 1751 
43000 1683 
43100 1589 
43200 1484 
43300 1668 
43400 1699 
43500 1641 
43600 1690 
43700 1776 
43800 1697 
43900 1637 
44000 1630 
44100 1718 
44200 1684 
44300 1580 
44400 1684 
44500 1745 
44600 1784 
44700 1798 
44800 1693 
44900 1612 
45000 1675 
45100 1551 
45200 1491 
45300 1494 
45400 1460 
45500 1443 
45600 1588 
45700 1675 
45800 1675 
45900 1597 
46000 1596 
46100 1531 
46200 1436 
46300 1357 
46400 1335 
46500 1308 
46600 1361 
46700 1435 
46800 1362 
46900 1300 
47000 1270 
47100 1260 
47200 1222 
47300 1221 
47400 1171 
47500 1151 
47600 1141 
47700 1213 
47800 1175 
47900 1166 
48000 1156 
48100 1199 
48200 1172 
48300 1249 
48400 1195 
48500 1191 
48600 1201 
48700 1200 
48800 1157 
48900 1137 
49000 1128 
49100 1137 
49200 1188 
49300 1150 
49400 1157 
49500 1160 
49600 1060 
49700 1046 
49800 1024 
49900 1004 
50000 998 
50100 969 
50200 888 
50300 868 
50400 924 
50500 976 
50600 943 
50700 910 
50800 898 
50900 961 
51000 1052 
51100 999 
51200 1084 
51300 1128 
51400 1141 
51500 1227 
51600 1290 
51700 1214 
51800 1109 
51900 1069 
52000 1096 
52100 1045 
52200 1072 
52300 1063 
52400 1085 
52500 1077 
52600 997 
52700 1054 
52800 1181 
52900 1302 
53000 1352 
53100 1216 
53200 1181 
53300 1190 
53400 1247 
53500 1277 
53600 1303 
53700 1302 
53800 1407 
53900 1461 
54000 1488 
54100 1487 
54200 1404 
54300 1344 
54400 1312 
54500 1338 
54600 1406 
54700 1398 
54800 1388 
54900 1282 
55000 1244 
55100 1222 
55200 1241 
55300 1331 
55400 1342 
55500 1381 
55600 1323 
55700 1273 
55800 1133 
55900 1152 
56000 1254 
56100 1254 
56200 1284 
56300 1290 
56400 1306 
56500 1349 
56600 1338 
56700 1384 
56800 1338 
56900 1240 
57000 1212 
57100 1221 
57200 1268 
57300 1306 
57400 1310 
57500 1426 
57600 1537 
57700 1586 
57800 1539 
57900 1491 
58000 1627 
58100 1636 
58200 1572 
58300 1457 
58400 1454 
58500 1554 
58600 1560 
58700 1579 
58800 1619 
58900 1631 
59000 1585 
59100 1515 
59200 1443 
59300 1445 
59400 1317 
59500 1288 
59600 1286 
59700 1186 
59800 1206 
59900 1135 
60000 1245 
60100 1382 
60200 1356 
60300 1375 
60400 1355 
60500 1349 
60600 1277 
60700 1216 
60800 1224 
60900 1162 
61000 1158 
61100 1173 
61200 1135 
61300 1064 
61400 1071 
61500 1084 
61600 1036 
61700 1046 
61800 1154 
61900 1230 
62000 1315 
62100 1416 
62200 1396 
62300 1405 
62400 1404 
62500 1336 
62600 1335 
62700 1400 
62800 1418 
62900 1378 
63000 1413 
63100 1331 
63200 1279 
63300 1298 
63400 1297 
63500 1279 
63600 1355 
63700 1428 
63800 1519 
63900 1518 
64000 1460 
64100 1466 
64200 1558 
64300 1553 
64400 1421 
64500 1297 
64600 1294 
64700 1283 
64800 1247 
64900 1287 
65000 1197 
65100 1189 
65200 1233 
65300 1217 
65400 1206 
65500 1211 
65600 1181 
65700 1223 
65800 1182 
65900 1210 
66000 1199 
66100 1195 
66200 1220 
66300 1195 
66400 1241 
66500 1427 
66600 1520 
66700 1558 
66800 1602 
66900 1560 
67000 1458 
67100 1476 
67200 1478 
67300 1489 
67400 1441 
67500 1420 
67600 1488 
67700 1525 
67800 1658 
67900 1629 
68000 1609 
68100 1552 
68200 1560 
68300 1519 
68400 1589 
68500 1591 
68600 1462 
68700 1446 
68800 1491 
68900 1577 
69000 1583 
69100 1662 
69200 1550 
69300 1530 
69400 1638 
69500 1759 
69600 1687 
69700 1749 
69800 1767 
69900 1716 
70000 1768 
70100 1865 
70200 1993 
70300 1956 
70400 1787 
70500 1692 
70600 1698 
70700 1667 
70800 1713 
70900 1777 
71000 1827 
71100 1866 
71200 1909 
71300 1875 
71400 1794 
71500 1741 
71600 1875 
71700 1921 
71800 1917 
71900 1964 
72000 1857 
72100 1678 
72200 1560 
72300 1675 
72400 1887 
72500 2027 
72600 1998 
72700 2002 
72800 2056 
72900 1923 
73000 1810 
73100 1832 
73200 1855 
73300 1897 
73400 1908 
73500 2119 
73600 2154 
73700 1888 
73800 1766 
73900 1740 
74000 1769 
74100 1740 
74200 1824 
74300 1821 
74400 1873 
74500 1912 
74600 1968 
74700 1963 
74800 1853 
74900 1801 
75000 1880 
75100 1948 
75200 1921 
75300 1870 
75400 1957 
75500 1912 
75600 1975 
75700 1927 
75800 2010 
75900 2001 
76000 1891 
76100 1863 
76200 1720 
76300 1655 
76400 1593 
76500 1525 
76600 1445 
76700 1408 
76800 1369 
76900 1212 
77000 1162 
77100 1099 
77200 1048 
77300 953 
77400 1072 
77500 1169 
77600 1125 
77700 1116 
77800 1181 
77900 1169 
78000 1188 
78100 1197 
78200 1286 
78300 1257 
78400 1256 
78500 1278 
78600 1270 
78700 1248 
78800 1237 
78900 1175 
79000 1157 
79100 1052 
79200 1045 
79300 1035 
79400 1040 
79500 1076 
79600 1121 
79700 1180 
79800 1257 
79900 1278 
80000 1350 
80100 1417 
80200 1508 
80300 1497 
80400 1539 
80500 1616 
80600 1562 
80700 1461 
80800 1435 
80900 1339 
81000 1368 
81100 1322 
81200 1235 
81300 1210 
81400 1133 
81500 1046 
81600 1062 
81700 1036 
81800 1005 
81900 836 
82000 709 
82100 761 
82200 788 
82300 738 
82400 774 
82500 759 
82600 655 
82700 606 
82800 634 
82900 601 
83000 603 
83100 550 
83200 543 
83300 572 
83400 558 
83500 570 
83600 440 
83700 363 
83800 434 
83900 471 
84000 389 
84100 323 
84200 317 
84300 300 
84400 322 
84500 282 
84600 257 
84700 221 
84800 250 
84900 259 
85000 262 
85100 225 
85200 204 
85300 174 
85400 185 
85500 179 
85600 210 
85700 231 
85800 163 
85900 162 
86000 152 
86100 154 
86200 142 
86300 130 
86400 95 
86500 86 
86600 79 
86700 80 
86800 87 
86900 85 
87000 79 
87100 77 
87200 102 
87300 80 
87400 75 
87500 94 
87600 96 
87700 107 
87800 89 
87900 127 
88000 151 
88100 141 
